year,date,category,country,city,event,line
"1968","30 августа","ussr","СССР","Завидово","departure","В 12J!!Л.И. уехал в «Завидово»."
"1968","31 августа. суббота (выходной день)","ussr","СССР","Заречье","stay","В течение дня Л.И. работал наддокументами ( 11а даче в Заречье), а также неоднократно звонил в nриемную."
"1968","7 сентября. суббота","ussr","СССР","Астрахань","stay","Л.И. - находился в Астрахани."
"1968","13 сентября","ussr","СССР","Завидово","departure","В !Зt1Л.И. выехал в «Завидово»."
"1968","5 октября, суббота","ussr","СССР","Завидово","departure","В 14ЫЛ.И. выехал в Завидово."
"1968","7 октября","ussr","СССР","Завидово","departure","В 1700 Л.И. выехал в «Завидово»."
"1968","12 октября. суббота","ussr","СССР","Завидово","departure","В !Sli!Л.И. выехал в Завидово."
"1968","1 ноября","ussr","СССР","Завидово","departure","Косыгиным А. Н., Полянеким Д. С., Кириленко АЛ. и др. вылетел в Завндово."
"1968","9 ноября. суббота","foreign","Польша","Варшава","departure","В 161!! Л.И. во главе партийной делегации ЦК КПСС поездом с Белорусского вокзала отбыл в Варшаву на V съезд ПОРП."
"1968","16 ноября. суббота","ussr","СССР","Брест","departure","В 02!1!! 17 /XI -68 г. Л.И. прибыл спецпоездом наст[ анцию] Брест."
"1968","23 ноября. суббота","ussr","СССР","Завидово","stay","Л.И. находился в «Завидово»."
"1968","8 декабря. воскресенье","ussr","СССР","Киев","departure","В 21 l!i Л.И. во главе делегации КПСС самолетом отбыл из г. Киева."
"1968","14 декабря. суббота","ussr","СССР","Завидово","departure","В 1200Л.И. выехал в «Завндово»."
"1968","21 декабря. суббота","ussr","СССР","Барвиха","stay","Л.И. (по настоятельной рекомендации врачей) находился в клиническом санатории « Барвиха »."
"1968","26 декабря","ussr","СССР","Минск","departure","В l8l.U Л.И. во главе делегации КПСС поездом с Белорусского вокзала отбыл в г. Минск­ на торжества по случаю 50"
"1968","29 декабря. воскресенье","ussr","СССР","Минск","stay","Л.И. во главе делегации КПСС возвратился из Минска."
"1968","31 декабря","ussr","СССР","Барвиха","stay","Л.И. находился в «Барвихе», куда ему были направлены два пакета с наиболее важным1t документами."
"1969","4 января. суббота","ussr","СССР","Завидово","stay","Л.И. находился в «Завидово>>."
"1969","6 января. понеnельник","ussr","СССР","Барвиха","stay","Л. И. находился в «Барвихе», куда ему был наnравлен nакет с наиболее важными ш[ифр]телеграммами и сводкой ТАСС."
"1969","9 января. четверг","ussr","СССР","Завидово","departure","В 1410 ч. выехал в «Завидово»."
